match_no,stage,opponent,minute,player,x,y,xg,is_goal,situation,shot_type
1,Group C,Cape Verde,15,Pedri,83.3,45.1,0.037,0,RegularPlay,RightFoot
1,Group C,Cape Verde,19,Fabián Ruiz,81.5,31.4,0.019,0,RegularPlay,LeftFoot
1,Group C,Cape Verde,20,Pau Cubarsí,77.2,29.2,0.027,0,RegularPlay,RightFoot
1,Group C,Cape Verde,29,Gavi,91.3,44.6,0.048,0,RegularPlay,RightFoot
1,Group C,Cape Verde,29,Marc Cucurella,89.8,47.9,0.015,0,RegularPlay,RightFoot
1,Group C,Cape Verde,39,Ferran Torres,100.3,33.3,0.304,0,RegularPlay,RightFoot
1,Group C,Cape Verde,39,Mikel Oyarzabal,96.5,31.6,0.083,0,RegularPlay,Header
1,Group C,Cape Verde,40,Ferran Torres,101.0,36.6,0.19,0,FromCorner,Header
1,Group C,Cape Verde,41,Fabián Ruiz,79.7,37.2,0.01,0,FromCorner,LeftFoot
1,Group C,Cape Verde,45,Ferran Torres,93.7,30.1,0.083,0,RegularPlay,LeftFoot
1,Group C,Cape Verde,45,Aymeric Laporte,96.5,32.0,0.049,0,FromCorner,Header
1,Group C,Cape Verde,45,Rodri,101.4,40.0,0.087,0,FromCorner,Header
1,Group C,Cape Verde,45,Mikel Oyarzabal,99.9,37.7,0.147,0,RegularPlay,Header
1,Group C,Cape Verde,48,Mikel Oyarzabal,96.0,34.7,0.088,0,RegularPlay,Header
1,Group C,Cape Verde,48,Fabián Ruiz,79.2,18.4,0.019,0,RegularPlay,LeftFoot
1,Group C,Cape Verde,51,Fabián Ruiz,86.7,24.3,0.075,0,RegularPlay,LeftFoot
1,Group C,Cape Verde,56,Fabián Ruiz,96.3,34.4,0.191,0,RegularPlay,Header
1,Group C,Cape Verde,58,Aymeric Laporte,77.3,42.1,0.026,0,RegularPlay,LeftFoot
1,Group C,Cape Verde,73,Mikel Merino,94.8,33.9,0.105,0,RegularPlay,RightFoot
1,Group C,Cape Verde,75,Ferran Torres,87.5,31.1,0.082,0,RegularPlay,RightFoot
1,Group C,Cape Verde,78,Pedri,82.1,33.3,0.061,0,RegularPlay,RightFoot
1,Group C,Cape Verde,82,Marc Cucurella,99.2,40.0,0.11,0,RegularPlay,Header
1,Group C,Cape Verde,85,Rodri,83.9,43.9,0.022,0,RegularPlay,LeftFoot
1,Group C,Cape Verde,88,Mikel Oyarzabal,92.4,32.7,0.089,0,RegularPlay,RightFoot
1,Group C,Cape Verde,90,Lamine Yamal,83.3,17.8,0.018,0,RegularPlay,LeftFoot
1,Group C,Cape Verde,90,Lamine Yamal,93.5,20.8,0.022,0,RegularPlay,LeftFoot
1,Group C,Cape Verde,90,Mikel Oyarzabal,101.1,28.0,0.096,0,FromCorner,Header
2,Group C,Saudi Arabia,2,Álex Baena,91.6,43.7,0.032,0,RegularPlay,RightFoot
2,Group C,Saudi Arabia,4,Lamine Yamal,78.3,22.1,0.016,0,RegularPlay,LeftFoot
2,Group C,Saudi Arabia,8,Dani Olmo,85.0,23.2,0.015,0,FromCorner,RightFoot
2,Group C,Saudi Arabia,10,Pedro Porro,83.2,19.4,0.022,0,RegularPlay,RightFoot
2,Group C,Saudi Arabia,10,Lamine Yamal,103.2,30.1,0.276,1,RegularPlay,RightFoot
2,Group C,Saudi Arabia,13,Pedri,90.7,43.6,0.083,0,RegularPlay,LeftFoot
2,Group C,Saudi Arabia,15,Álex Baena,85.9,52.9,0.018,0,RegularPlay,RightFoot
2,Group C,Saudi Arabia,17,Mikel Oyarzabal,81.7,44.3,0.022,0,RegularPlay,RightFoot
2,Group C,Saudi Arabia,21,Dani Olmo,92.8,24.0,0.038,0,FromCorner,RightFoot
2,Group C,Saudi Arabia,21,Mikel Oyarzabal,100.1,38.6,0.188,1,FromCorner,LeftFoot
2,Group C,Saudi Arabia,24,Mikel Oyarzabal,102.7,30.3,0.493,1,RegularPlay,LeftFoot
2,Group C,Saudi Arabia,30,Lamine Yamal,86.7,21.4,0.02,0,RegularPlay,LeftFoot
2,Group C,Saudi Arabia,36,Mikel Oyarzabal,98.1,55.0,0.056,0,RegularPlay,LeftFoot
2,Group C,Saudi Arabia,36,Lamine Yamal,79.0,25.8,0.019,0,RegularPlay,LeftFoot
2,Group C,Saudi Arabia,37,Lamine Yamal,88.9,22.0,0.022,0,RegularPlay,LeftFoot
2,Group C,Saudi Arabia,42,Mikel Oyarzabal,95.6,44.3,0.043,0,RegularPlay,LeftFoot
2,Group C,Saudi Arabia,45,Rodri,87.0,36.7,0.039,0,RegularPlay,LeftFoot
2,Group C,Saudi Arabia,49,Marc Cucurella,101.2,28.6,0.184,0,FromCorner,LeftFoot
2,Group C,Saudi Arabia,53,Pedro Porro,94.8,22.9,0.196,0,RegularPlay,RightFoot
2,Group C,Saudi Arabia,53,Ferran Torres,92.9,28.0,0.037,0,RegularPlay,Header
2,Group C,Saudi Arabia,65,Ferran Torres,92.5,43.4,0.441,0,RegularPlay,RightFoot
2,Group C,Saudi Arabia,90,Mikel Merino,89.1,19.3,0.048,0,RegularPlay,LeftFoot
3,Group C,Uruguay,17,Lamine Yamal,90.8,18.5,0.029,0,RegularPlay,LeftFoot
3,Group C,Uruguay,20,Pau Cubarsí,100.7,29.8,0.124,0,FromCorner,Header
3,Group C,Uruguay,42,Álex Baena,91.4,30.7,0.136,1,RegularPlay,RightFoot
3,Group C,Uruguay,45,Mikel Oyarzabal,72.0,41.4,0.016,0,RegularPlay,LeftFoot
3,Group C,Uruguay,63,Dani Olmo,92.0,31.1,0.171,0,RegularPlay,RightFoot
3,Group C,Uruguay,86,Ferran Torres,89.8,34.8,0.382,0,RegularPlay,RightFoot
