minute,value
0.0,0
1.0,0
2.0,0
3.0,-5
4.0,-5
5.0,76
6.0,98
7.0,100
8.0,38
9.0,22
10.0,8
11.0,8
12.0,14
13.0,30
14.0,24
15.0,19
16.0,0
17.0,5
18.0,3
19.0,19
20.0,8
21.0,11
22.0,-11
23.0,8
24.0,8
25.0,19
26.0,0
27.0,0
28.0,0
29.0,0
30.0,0
31.0,11
32.0,33
33.0,27
34.0,22
35.0,0
36.0,0
37.0,0
38.0,22
39.0,33
40.0,5
41.0,-11
42.0,16
43.0,43
44.0,38
45.0,0
45.5,-11
46.0,11
47.0,3
48.0,3
49.0,-8
50.0,-5
51.0,-11
52.0,-11
53.0,0
54.0,5
55.0,65
56.0,92
57.0,92
58.0,33
59.0,27
60.0,27
61.0,27
62.0,5
63.0,11
64.0,27
65.0,27
66.0,27
67.0,76
68.0,71
69.0,65
70.0,0
71.0,-3
72.0,-8
73.0,-24
74.0,-5
75.0,0
76.0,19
77.0,52
78.0,52
79.0,54
80.0,16
81.0,33
82.0,38
83.0,27
84.0,11
85.0,22
86.0,38
87.0,73
88.0,62
89.0,73
90.0,38
90.5,7
91.0,41
92.0,52
93.0,100
94.0,100
95.0,100
96.0,46
97.0,46
98.0,33
99.0,-5
100.0,11
101.0,43
102.0,43
103.0,100
104.0,90
105.0,90
105.5,14
106.0,73
107.0,73
108.0,68
109.0,-8
110.0,-19
111.0,-14
112.0,5
113.0,22
114.0,16
115.0,-19
116.0,-19
117.0,-30
118.0,-11
119.0,-22
120.0,-27
120.5,-37
120.75,0
