team,minute,x,y,xg,outcome
Spain,6,96.5,16.7,0.08,off_target
Spain,12,104.0,21.0,0.12,off_target
Spain,16,91.0,43.6,0.08,off_target
Spain,20,88.1,19.4,0.06,blocked
Spain,25,94.0,42.4,0.1,blocked
Spain,35,97.7,25.7,0.13,off_target
Spain,36,79.5,17.5,0.04,on_target
Spain,38,97.5,38.9,0.16,on_target
Spain,41,90.9,40.5,0.07,off_target
Spain,45,88.3,25.4,0.09,off_target
Spain,53,98.0,46.7,0.09,on_target
Spain,55,82.2,36.4,0.08,on_target
Spain,62,82.0,34.9,0.04,on_target
Spain,86,100.2,47.3,0.09,off_target
Spain,100,103.8,36.8,0.26,off_target
Spain,104,90.5,40.0,0.1,blocked
Spain,106,96.1,43.9,0.1,on_target
Spain,117,98.2,38.6,0.14,on_target
Spain,118,94.2,44.4,0.08,off_target
Spain,106,96.5,37.0,0.31,goal
Argentina,38,17.3,22.6,0.05,off_target
Argentina,57,15.2,47.6,0.07,on_target
Argentina,78,21.4,38.3,0.05,off_target
