goal_id,player,x,y,action
1,Porro,86,10,pass
1,Yamal,92,18,dribble
1,Yamal,97,28,pass
1,Oyarzabal,95,40,shot
2,Rodri,55,28,pass
2,Cucurella,72,62,pass
2,Baena,86,54,dribble
2,Baena,93,44,shot
3,Regain,66,42,regain
3,Olmo,77,33,pass
3,Merino,89,39,shot
4,Regain,58,22,regain
4,Yamal,80,12,dribble
4,Yamal,93,16,cross
4,Porro,98,48,shot
5,Yamal,78,14,dribble
5,Yamal,94,24,dribble
5,Oyarzabal,94,34,pen
6,Cubarsi,28,24,pass
6,Rodri,48,34,pass
6,Olmo,70,28,pass
6,Cucurella,84,60,pass
6,Torres,94,40,shot
