x,y,outcome
73.3,23.5,regain
82.0,65.0,regain
65.0,25.3,shot
91.9,50.8,shot
85.4,40.8,regain
77.5,31.7,regain
77.3,24.2,regain
82.6,53.3,regain
77.7,31.3,shot
78.1,56.9,shot
86.1,23.2,regain
84.4,34.9,regain
79.5,41.0,regain
79.3,39.6,regain
81.4,15.5,shot
74.8,24.0,regain
76.6,31.1,shot
84.7,21.2,shot
78.9,44.2,goal
68.3,42.8,regain
75.9,4.6,goal
85.6,6.9,regain
78.0,14.8,regain
78.7,35.8,regain
85.5,64.5,regain
95.5,28.3,regain
73.9,37.8,regain
91.5,18.1,regain
69.5,18.3,regain
81.5,4.6,shot
70.1,33.6,regain
91.5,48.2,regain
87.1,28.6,regain
89.7,54.9,regain
72.5,37.0,regain
85.8,33.5,goal
75.6,41.8,regain
76.1,41.3,regain
84.3,51.2,regain
87.5,22.0,regain
81.7,3.0,shot
74.7,35.7,regain
73.0,24.8,shot
92.3,33.6,regain
85.0,59.0,regain
86.1,17.5,regain
98.6,45.5,regain
73.1,48.2,regain
101.8,40.9,regain
103.0,50.8,regain
93.8,27.1,regain
87.0,23.8,shot
74.4,49.6,regain
88.5,44.8,goal
76.2,54.9,regain
79.8,37.2,regain
77.5,58.4,regain
82.4,29.8,regain
90.9,18.1,regain
75.3,3.4,regain
71.6,17.5,regain
71.5,46.3,goal
71.8,12.0,regain
67.8,27.2,shot
72.2,65.0,regain
91.0,46.7,regain
75.0,60.9,regain
82.2,19.1,regain
69.7,3.0,shot
81.4,56.7,regain
65.2,12.7,shot
