team,matches,xg_for,xg_for_rank,xg_against,xg_against_rank,possession_avg,possession_avg_rank,poss_won_final_third,poss_won_final_third_rank,interceptions,interceptions_rank,tackles,tackles_rank,touches_opp_box,touches_opp_box_rank,big_chances,big_chances_rank,clean_sheets,clean_sheets_rank,accurate_passes,accurate_passes_rank
France,8.0,17.5,1.0,8.3,44.0,55.7,9.0,4.6,6.0,8.5,12.0,14.5,20.0,253.0,2.0,33.0,1.0,4.0,4.0,468.8,10.0
Spain,8.0,15.6,2.0,2.4,1.0,64.0,2.0,6.1,1.0,7.9,18.0,15.9,16.0,271.0,1.0,24.0,3.0,7.0,1.0,597.5,1.0
Argentina,8.0,14.6,3.0,6.2,29.0,57.5,6.0,2.9,20.0,10.0,5.0,19.9,2.0,202.0,6.0,22.0,4.0,2.0,16.0,570.4,4.0
England,8.0,14.3,4.0,9.3,48.0,54.1,13.0,3.4,15.0,6.3,30.0,15.9,16.0,235.0,3.0,33.0,1.0,2.0,16.0,431.8,15.0
Brazil,5.0,12.0,5.0,4.0,14.0,52.9,16.0,3.6,13.0,9.6,8.0,18.6,5.0,149.0,9.0,22.0,6.0,2.0,9.0,475.8,9.0
Belgium,6.0,10.9,6.0,8.1,41.0,51.1,20.0,2.3,26.0,8.2,16.0,14.3,23.0,222.0,4.0,15.0,11.0,1.0,27.0,427.5,17.0
Norway,6.0,10.1,7.0,9.2,47.0,52.2,17.0,2.8,21.0,7.2,23.0,16.5,13.0,144.0,10.0,22.0,5.0,,,438.2,14.0
Switzerland,6.0,9.7,8.0,6.2,28.0,54.1,14.0,4.5,7.0,8.5,13.0,14.3,23.0,157.0,8.0,16.0,8.0,2.0,14.0,452.0,11.0
Canada,5.0,9.7,9.0,3.3,6.0,54.2,12.0,5.0,4.0,7.2,24.0,15.8,18.0,215.0,5.0,16.0,10.0,2.0,9.0,333.2,25.0
Senegal,4.0,8.8,10.0,5.9,27.0,55.4,11.0,4.5,8.0,7.8,19.0,13.5,27.0,120.0,17.0,16.0,8.0,1.0,22.0,478.3,7.0
Morocco,6.0,8.5,11.0,7.8,40.0,59.0,4.0,2.7,23.0,7.3,21.0,17.3,10.0,121.0,16.0,17.0,7.0,2.0,14.0,522.8,5.0
Germany,4.0,8.3,12.0,3.3,5.0,65.2,1.0,6.0,2.0,7.0,26.0,19.5,3.0,159.0,7.0,15.0,12.0,,,587.8,2.0
