player,x,y,touches
Aymeric Laporte,43.0,21.5,818
Borja Iglesias,61.7,2.1,1
Dani Olmo,62.2,38.5,353
Eric García,35.4,21.8,19
Fabián Ruiz,58.4,30.4,368
Ferran Torres,74.6,41.4,184
Gavi,71.1,14.6,61
Lamine Yamal,73.7,54.6,539
Marc Cucurella,57.5,10.5,615
Marc Pubill,23.4,50.0,2
Marcos Llorente,54.6,58.2,198
Martín Zubimendi,44.2,34.1,35
Mikel Merino,61.1,40.8,184
Mikel Oyarzabal,67.1,34.0,296
Nico Williams,70.6,13.6,104
Pau Cubarsí,41.5,45.6,854
Pedri,64.0,29.4,636
Pedro Porro,53.5,57.9,591
Rodri,53.2,33.7,984
Unai Simón,11.9,34.1,451
Yéremi Pino,63.7,49.4,43
Álex Baena,71.3,15.8,388
