player,x,y
Unai Simón,10.5,18.0
Unai Simón,11.0,22.2
Unai Simón,27.0,38.1
Unai Simón,13.4,30.6
Unai Simón,7.9,16.2
Unai Simón,3.1,21.4
Unai Simón,21.3,41.8
Unai Simón,13.8,37.7
Unai Simón,28.5,34.6
Unai Simón,3.8,38.0
Unai Simón,4.3,34.0
Unai Simón,2.1,25.4
Unai Simón,8.6,26.3
Unai Simón,4.5,30.3
Unai Simón,18.0,31.8
Unai Simón,18.9,20.2
Unai Simón,20.0,18.4
Unai Simón,14.1,30.6
Unai Simón,15.4,31.0
Unai Simón,6.5,31.0
Unai Simón,11.8,17.2
Unai Simón,12.0,15.7
Unai Simón,13.2,18.0
Unai Simón,19.1,30.8
Unai Simón,12.6,35.4
Unai Simón,13.2,36.7
Unai Simón,12.9,36.5
Unai Simón,27.1,25.9
Unai Simón,3.5,30.8
Unai Simón,14.1,39.8
Unai Simón,18.0,34.8
Unai Simón,6.8,47.2
Unai Simón,13.8,46.0
Unai Simón,1.6,34.6
Unai Simón,1.6,34.6
Unai Simón,8.5,32.9
Unai Simón,4.1,32.6
Pau Cubarsí,20.7,41.1
Pau Cubarsí,67.1,45.3
Pau Cubarsí,62.2,55.1
Pau Cubarsí,47.4,62.4
Pau Cubarsí,64.7,62.2
Pau Cubarsí,39.8,37.6
Pau Cubarsí,45.3,38.3
Pau Cubarsí,56.6,41.5
Pau Cubarsí,50.9,39.8
Pau Cubarsí,35.1,49.8
Pau Cubarsí,44.6,52.8
Pau Cubarsí,60.0,37.1
Pau Cubarsí,54.8,50.0
Pau Cubarsí,67.5,32.6
Pau Cubarsí,27.4,49.5
Pau Cubarsí,50.4,62.4
Pau Cubarsí,49.4,62.8
Pau Cubarsí,21.5,44.6
Pau Cubarsí,60.1,47.6
Pau Cubarsí,69.8,38.1
Pau Cubarsí,56.7,37.7
Pau Cubarsí,48.4,46.3
Pau Cubarsí,64.6,51.0
Pau Cubarsí,57.7,59.5
Pau Cubarsí,69.8,52.5
Pau Cubarsí,63.3,62.8
Pau Cubarsí,34.2,60.9
Pau Cubarsí,70.4,49.2
Pau Cubarsí,29.6,51.6
Pau Cubarsí,28.5,51.2
Pau Cubarsí,77.2,38.8
Pau Cubarsí,46.7,34.2
Pau Cubarsí,55.8,42.8
Pau Cubarsí,66.2,49.0
Pau Cubarsí,70.3,49.6
Pau Cubarsí,25.9,46.5
Pau Cubarsí,40.2,46.2
Pau Cubarsí,41.7,47.9
Pau Cubarsí,27.7,42.5
Pau Cubarsí,52.0,45.1
Pau Cubarsí,65.3,25.0
Pau Cubarsí,14.9,46.0
Pau Cubarsí,54.7,39.6
Pau Cubarsí,59.4,46.3
Pau Cubarsí,55.7,48.5
Pau Cubarsí,37.4,50.4
Pau Cubarsí,33.8,42.9
Pau Cubarsí,67.5,43.6
Pau Cubarsí,70.8,44.8
Pau Cubarsí,71.5,51.6
Pau Cubarsí,49.0,36.9
Pau Cubarsí,73.5,37.6
Pau Cubarsí,36.5,38.5
Pau Cubarsí,55.4,46.2
Pau Cubarsí,57.2,50.4
Pau Cubarsí,70.8,45.9
Pau Cubarsí,35.0,43.4
Pau Cubarsí,35.0,43.4
Pau Cubarsí,51.4,47.5
Pau Cubarsí,50.8,47.1
Pau Cubarsí,42.1,49.8
Pau Cubarsí,59.5,51.6
Pau Cubarsí,47.9,51.2
Pau Cubarsí,68.9,45.2
Pau Cubarsí,33.7,18.8
Pau Cubarsí,32.1,19.0
Pau Cubarsí,58.8,39.3
Pau Cubarsí,57.0,46.7
Pau Cubarsí,66.5,34.8
Pau Cubarsí,71.7,47.9
Pau Cubarsí,60.2,37.7
Pau Cubarsí,57.4,23.2
Pau Cubarsí,69.1,47.9
Pau Cubarsí,65.6,45.9
Pau Cubarsí,77.6,44.6
Pau Cubarsí,64.0,50.7
Pau Cubarsí,62.4,45.9
Pau Cubarsí,70.2,45.4
Pau Cubarsí,70.9,41.3
Pau Cubarsí,63.1,21.5
Pau Cubarsí,61.5,19.1
Pau Cubarsí,57.6,40.1
Pau Cubarsí,37.5,42.9
Pau Cubarsí,75.1,47.9
Pau Cubarsí,56.3,41.4
Pau Cubarsí,40.0,38.6
Pau Cubarsí,57.3,24.4
Pau Cubarsí,55.4,19.7
Pau Cubarsí,55.4,19.7
Pau Cubarsí,72.6,34.9
Pau Cubarsí,66.9,48.9
Pau Cubarsí,71.8,52.5
Pau Cubarsí,41.6,46.7
Pau Cubarsí,72.4,35.8
Pau Cubarsí,69.5,48.3
Pau Cubarsí,77.2,45.1
Pau Cubarsí,49.9,54.0
Pau Cubarsí,76.6,44.1
Pau Cubarsí,73.7,46.7
Pau Cubarsí,34.9,56.6
Pau Cubarsí,23.8,26.2
Pau Cubarsí,29.4,37.7
Pau Cubarsí,63.3,47.9
Pau Cubarsí,58.3,37.7
Pau Cubarsí,68.4,59.3
Pau Cubarsí,67.7,55.5
Pau Cubarsí,57.4,28.7
Pau Cubarsí,57.2,23.6
Pau Cubarsí,49.4,51.2
Pau Cubarsí,49.3,29.0
Pau Cubarsí,72.5,35.1
Pau Cubarsí,73.8,34.6
Pau Cubarsí,70.1,34.7
Pau Cubarsí,60.0,34.5
Pau Cubarsí,61.5,44.2
Pau Cubarsí,67.4,48.9
Pau Cubarsí,73.0,37.4
Pau Cubarsí,36.1,59.3
Pau Cubarsí,75.3,44.8
Pau Cubarsí,23.3,48.3
Pau Cubarsí,29.6,52.4
Pau Cubarsí,75.7,38.6
Rodri,26.7,18.0
Rodri,40.7,15.8
Rodri,49.6,16.4
Rodri,65.3,23.2
Rodri,70.1,21.3
Rodri,59.8,18.8
Rodri,62.0,20.5
Rodri,57.1,4.3
Rodri,57.1,4.3
Rodri,56.1,47.1
Rodri,64.2,57.6
Rodri,49.2,30.3
Rodri,66.0,57.6
Rodri,54.4,32.9
Rodri,47.7,46.0
Rodri,72.7,18.3
Rodri,56.3,49.0
Rodri,65.0,49.5
Rodri,49.7,44.8
Rodri,64.2,40.6
Rodri,59.5,47.7
Rodri,51.9,37.7
Rodri,58.6,64.5
Rodri,68.2,25.2
Rodri,76.9,29.6
Rodri,60.5,21.9
Rodri,60.5,21.9
Rodri,59.0,22.0
Rodri,73.9,39.6
Rodri,59.9,29.6
Rodri,65.5,35.5
Rodri,69.1,51.4
Rodri,69.1,51.4
Rodri,73.5,46.9
Rodri,63.7,34.0
Rodri,60.5,20.3
Rodri,74.6,17.4
Rodri,74.0,15.9
Rodri,73.9,16.9
Rodri,63.5,23.2
Rodri,71.1,30.8
Rodri,14.7,43.0
Rodri,69.4,30.3
Rodri,57.4,28.7
Rodri,69.5,19.0
Rodri,66.9,13.0
Rodri,55.5,46.9
Rodri,72.7,22.3
Rodri,72.9,30.8
Rodri,61.2,20.8
Rodri,67.5,30.3
Rodri,34.7,30.9
Rodri,25.7,43.2
Rodri,56.5,39.4
Rodri,62.7,20.8
Rodri,73.8,52.8
Rodri,77.2,50.6
Rodri,79.6,46.9
Rodri,90.0,16.6
Rodri,85.6,18.6
Rodri,36.8,16.0
Rodri,66.6,31.7
Rodri,77.3,18.0
Rodri,76.6,13.2
Rodri,78.7,11.7
Rodri,44.4,44.8
Rodri,78.9,10.8
Rodri,76.5,7.9
Rodri,98.9,11.7
Rodri,101.0,54.6
Rodri,101.4,28.0
Rodri,56.5,38.3
Rodri,59.2,20.5
Rodri,72.8,32.6
Rodri,77.3,28.4
Rodri,69.5,24.1
Rodri,68.1,13.3
Rodri,68.1,13.3
Rodri,67.1,12.5
Rodri,73.8,37.5
Rodri,75.3,51.6
Rodri,72.8,51.0
Rodri,66.2,42.5
Rodri,72.7,16.9
Rodri,68.2,17.6
Rodri,46.8,36.9
Rodri,65.4,27.7
Rodri,69.7,25.2
Rodri,70.9,20.8
Rodri,69.7,30.9
Rodri,66.0,34.7
Rodri,77.1,48.3
Rodri,77.1,52.7
Rodri,77.4,45.2
Rodri,63.3,9.7
Rodri,24.7,22.8
Rodri,33.2,23.6
Rodri,61.7,50.0
Rodri,78.1,9.6
Rodri,74.3,5.8
Rodri,68.6,15.7
Rodri,75.4,43.6
Rodri,75.8,47.5
Rodri,77.0,52.3
Rodri,60.9,10.8
Rodri,76.3,5.0
Rodri,76.7,15.3
Rodri,73.7,26.2
Rodri,79.6,15.6
Rodri,73.8,20.7
Rodri,82.9,16.8
Rodri,78.0,16.2
Rodri,85.2,5.6
Rodri,95.1,32.9
Rodri,73.6,54.6
Rodri,76.5,47.5
Rodri,78.1,59.5
Rodri,40.2,39.9
Rodri,74.9,47.4
Rodri,76.5,51.0
Rodri,82.3,51.4
Rodri,75.6,31.5
Rodri,66.8,51.0
Rodri,80.0,49.0
Rodri,73.7,45.7
Rodri,77.0,21.3
Rodri,58.5,36.9
Rodri,72.7,42.5
Rodri,78.3,3.9
Rodri,96.7,6.0
Rodri,34.9,55.3
Rodri,52.4,25.0
Rodri,75.7,19.7
Rodri,25.0,48.1
Rodri,49.6,36.3
Rodri,69.2,37.0
Rodri,73.4,25.0
Rodri,76.9,23.0
Rodri,84.0,24.1
Rodri,65.1,44.6
Rodri,77.2,24.6
Rodri,79.3,22.7
Rodri,77.1,42.8
Marc Cucurella,35.9,3.5
Marc Cucurella,78.0,12.2
Marc Cucurella,82.4,13.6
Marc Cucurella,58.3,6.8
Marc Cucurella,66.3,2.4
Marc Cucurella,66.7,4.1
Marc Cucurella,73.7,0.0
Marc Cucurella,79.2,3.1
Marc Cucurella,77.2,2.9
Marc Cucurella,57.2,4.7
Marc Cucurella,90.6,0.0
Marc Cucurella,58.2,6.2
Marc Cucurella,75.1,4.7
Marc Cucurella,57.7,16.0
Marc Cucurella,61.2,26.0
Marc Cucurella,77.4,4.3
Marc Cucurella,73.9,3.0
Marc Cucurella,78.3,6.4
Marc Cucurella,77.4,12.3
Marc Cucurella,75.6,8.5
Marc Cucurella,75.1,3.3
Marc Cucurella,72.2,3.9
Marc Cucurella,21.2,7.2
Marc Cucurella,7.7,19.3
Marc Cucurella,96.5,13.0
Marc Cucurella,92.4,16.4
Marc Cucurella,89.8,20.2
Marc Cucurella,60.1,23.9
Marc Cucurella,48.4,9.7
Marc Cucurella,28.9,6.6
Marc Cucurella,32.1,24.6
Marc Cucurella,66.5,3.9
Marc Cucurella,85.7,4.3
Marc Cucurella,75.6,11.9
Marc Cucurella,77.3,3.5
Marc Cucurella,102.1,26.4
Marc Cucurella,44.3,6.8
Marc Cucurella,76.1,2.5
Marc Cucurella,90.4,5.4
Marc Cucurella,95.1,7.8
Marc Cucurella,39.8,17.3
Marc Cucurella,87.5,5.6
Marc Cucurella,72.7,7.3
Marc Cucurella,73.5,3.4
Marc Cucurella,57.5,7.5
Marc Cucurella,76.6,6.6
Marc Cucurella,71.9,0.0
Marc Cucurella,49.2,11.4
Marc Cucurella,81.8,14.5
Marc Cucurella,36.1,6.0
Marc Cucurella,30.4,0.0
Marc Cucurella,87.1,4.5
Marc Cucurella,78.8,42.2
Marc Cucurella,97.3,5.4
Marc Cucurella,96.6,18.9
Marc Cucurella,69.3,28.5
Marc Cucurella,29.7,32.7
Marc Cucurella,84.3,8.7
Marc Cucurella,91.0,5.6
Marc Cucurella,92.4,3.1
Marc Cucurella,92.2,7.9
Marc Cucurella,43.6,15.3
Marc Cucurella,80.5,20.4
Marc Cucurella,91.0,3.1
Marc Cucurella,64.2,3.9
Marc Cucurella,93.1,24.4
Marc Cucurella,90.5,9.3
Marc Cucurella,93.6,18.3
Marc Cucurella,92.0,24.8
Marc Cucurella,90.0,4.3
Marc Cucurella,89.8,7.8
Marc Cucurella,94.3,9.8
Marc Cucurella,94.1,3.7
Marc Cucurella,93.3,2.8
Marc Cucurella,82.6,45.3
Marc Cucurella,101.7,0.0
Marc Cucurella,77.4,19.2
Marc Cucurella,79.8,16.2
Marc Cucurella,71.9,27.0
Marc Cucurella,89.3,5.8
Marc Cucurella,99.2,28.0
Marc Cucurella,73.4,3.1
Marc Cucurella,95.7,7.8
Marc Cucurella,90.7,9.1
Marc Cucurella,79.2,8.3
Marc Cucurella,101.0,12.5
Marc Cucurella,103.7,15.5
Marc Cucurella,77.4,39.4
Marc Cucurella,39.0,25.1
Marc Cucurella,93.0,11.2
Aymeric Laporte,37.4,29.2
Aymeric Laporte,47.5,28.7
Aymeric Laporte,59.4,34.9
Aymeric Laporte,61.0,24.1
Aymeric Laporte,59.5,37.8
Aymeric Laporte,54.5,26.5
Aymeric Laporte,51.1,6.6
Aymeric Laporte,42.9,4.1
Aymeric Laporte,45.3,19.7
Aymeric Laporte,49.9,19.3
Aymeric Laporte,53.9,47.2
Aymeric Laporte,47.7,11.0
Aymeric Laporte,44.9,11.0
Aymeric Laporte,50.1,18.0
Aymeric Laporte,58.7,17.3
Aymeric Laporte,55.8,13.1
Aymeric Laporte,70.2,14.3
Aymeric Laporte,75.5,4.3
Aymeric Laporte,36.3,41.2
Aymeric Laporte,36.3,41.2
Aymeric Laporte,54.0,26.2
Aymeric Laporte,55.6,38.0
Aymeric Laporte,65.4,21.5
Aymeric Laporte,58.5,20.9
Aymeric Laporte,58.7,30.3
Aymeric Laporte,49.7,31.7
Aymeric Laporte,56.9,33.9
Aymeric Laporte,57.0,38.1
Aymeric Laporte,72.5,36.3
Aymeric Laporte,60.8,25.7
Aymeric Laporte,61.9,21.5
Aymeric Laporte,60.5,17.1
Aymeric Laporte,34.8,25.1
Aymeric Laporte,40.4,23.2
Aymeric Laporte,56.9,29.9
Aymeric Laporte,14.5,34.7
Aymeric Laporte,15.2,16.2
Aymeric Laporte,74.6,10.8
Aymeric Laporte,56.5,5.6
Aymeric Laporte,36.6,20.3
Aymeric Laporte,57.0,56.9
Aymeric Laporte,57.1,52.0
Aymeric Laporte,39.2,11.9
Aymeric Laporte,33.0,21.4
Aymeric Laporte,62.9,21.1
Aymeric Laporte,57.5,16.6
Aymeric Laporte,62.9,20.9
Aymeric Laporte,73.1,23.2
Aymeric Laporte,18.5,22.1
Aymeric Laporte,60.7,13.8
Aymeric Laporte,75.5,23.9
Aymeric Laporte,77.2,18.9
Aymeric Laporte,59.3,17.5
Aymeric Laporte,69.7,18.0
Aymeric Laporte,74.7,18.0
Aymeric Laporte,20.0,18.6
Aymeric Laporte,32.5,27.4
Aymeric Laporte,63.3,21.1
Aymeric Laporte,32.7,30.0
Aymeric Laporte,62.0,22.2
Aymeric Laporte,64.0,34.2
Aymeric Laporte,65.1,30.0
Aymeric Laporte,98.3,35.4
Aymeric Laporte,96.5,36.0
Aymeric Laporte,102.7,30.3
Aymeric Laporte,36.1,9.4
Aymeric Laporte,68.1,18.0
Aymeric Laporte,61.0,22.3
Aymeric Laporte,78.1,17.8
Aymeric Laporte,70.4,19.2
Aymeric Laporte,69.9,18.0
Aymeric Laporte,73.8,17.8
Aymeric Laporte,61.6,13.4
Aymeric Laporte,73.6,15.5
Aymeric Laporte,76.4,11.4
Aymeric Laporte,51.0,8.5
Aymeric Laporte,70.8,21.6
Aymeric Laporte,71.2,30.2
Aymeric Laporte,64.4,30.6
Aymeric Laporte,75.3,23.6
Aymeric Laporte,75.5,20.9
Aymeric Laporte,67.7,10.3
Aymeric Laporte,41.4,26.0
Aymeric Laporte,59.5,16.6
Aymeric Laporte,9.7,6.4
Aymeric Laporte,61.7,19.5
Aymeric Laporte,34.8,7.2
Aymeric Laporte,34.1,7.2
Aymeric Laporte,77.4,26.8
Aymeric Laporte,77.3,25.9
Aymeric Laporte,63.1,9.9
Aymeric Laporte,76.3,16.4
Aymeric Laporte,78.5,16.6
Aymeric Laporte,66.9,17.6
Aymeric Laporte,75.6,25.0
Aymeric Laporte,79.6,18.5
Aymeric Laporte,35.6,39.7
Aymeric Laporte,33.2,38.8
Aymeric Laporte,29.3,25.2
Aymeric Laporte,49.4,20.8
Aymeric Laporte,73.1,24.2
Aymeric Laporte,74.6,20.6
Aymeric Laporte,74.5,31.9
Aymeric Laporte,96.1,32.7
Aymeric Laporte,38.3,21.7
Aymeric Laporte,77.1,20.5
Aymeric Laporte,77.9,16.2
Aymeric Laporte,74.4,19.5
Aymeric Laporte,82.9,18.6
Aymeric Laporte,47.9,17.1
Aymeric Laporte,73.8,29.9
Aymeric Laporte,101.2,5.1
Aymeric Laporte,79.2,17.2
Aymeric Laporte,80.0,17.2
Aymeric Laporte,81.3,11.9
Aymeric Laporte,78.5,7.4
Aymeric Laporte,78.9,7.2
Aymeric Laporte,77.9,4.5
Aymeric Laporte,97.3,35.1
Aymeric Laporte,29.5,27.6
Aymeric Laporte,71.3,30.1
Aymeric Laporte,44.3,24.4
Aymeric Laporte,44.3,24.4
Aymeric Laporte,60.0,15.0
Aymeric Laporte,67.4,13.1
Aymeric Laporte,56.7,50.0
Aymeric Laporte,58.0,30.3
Aymeric Laporte,36.1,28.0
Aymeric Laporte,36.1,28.0
Aymeric Laporte,68.8,20.7
Aymeric Laporte,74.3,17.6
Aymeric Laporte,44.7,21.5
Aymeric Laporte,31.5,52.8
Aymeric Laporte,31.9,52.6
Aymeric Laporte,72.6,20.6
Aymeric Laporte,24.4,25.5
Aymeric Laporte,68.2,0.0
Pedri,61.3,44.8
Pedri,69.2,47.9
Pedri,67.7,20.6
Pedri,70.1,28.0
Pedri,95.9,62.4
Pedri,98.2,63.5
Pedri,100.5,62.6
Pedri,63.5,22.2
Pedri,67.7,6.0
Pedri,73.0,40.8
Pedri,77.5,62.2
Pedri,80.1,54.4
Pedri,67.2,36.4
Pedri,69.3,37.9
Pedri,104.5,67.7
Pedri,98.6,63.0
Pedri,83.3,22.9
Pedri,83.2,18.7
Pedri,83.2,18.7
Pedri,76.0,50.2
Pedri,72.8,9.3
Pedri,67.2,29.7
Pedri,70.2,51.6
Pedri,70.6,30.3
Pedri,96.8,59.7
Pedri,78.5,8.1
Pedri,103.4,60.2
Pedri,67.2,33.4
Pedri,75.5,30.6
Pedri,70.1,33.5
Pedri,74.4,18.2
Pedri,49.0,38.1
Pedri,76.7,33.8
Pedri,76.9,34.2
Pedri,78.9,24.6
Pedri,78.3,39.9
Pedri,104.5,0.3
Pedri,93.0,3.2
Pedri,59.4,10.6
Pedri,48.9,11.5
Pedri,42.2,20.3
Pedri,55.5,27.5
Pedri,81.6,7.4
Pedri,79.7,8.5
Pedri,55.1,10.8
Pedri,50.5,19.5
Pedri,72.7,30.3
Pedri,74.8,37.2
Pedri,75.2,19.1
Pedri,85.4,18.9
Pedri,79.7,20.9
Pedri,94.1,15.6
Pedri,104.5,67.7
Pedri,104.5,0.3
Pedri,76.0,37.0
Pedri,81.6,49.5
Pedri,76.1,16.2
Pedri,76.1,16.2
Pedri,74.9,16.6
Pedri,101.8,11.4
Pedri,81.0,23.4
Pedri,75.8,25.1
Pedri,53.6,19.7
Pedri,66.6,49.4
Pedri,71.6,42.7
Pedri,74.8,36.3
Pedri,78.3,36.0
Pedri,63.9,27.6
Pedri,78.1,52.7
Pedri,103.0,58.7
Pedri,75.3,23.8
Pedri,75.6,18.4
