player,x,y
rodri,73.1,39.5
rodri,40.8,38.5
rodri,35.2,41.0
rodri,53.6,21.2
rodri,35.2,39.7
rodri,49.4,30.9
rodri,46.1,39.2
rodri,43.1,21.6
rodri,51.4,32.1
rodri,61.3,11.7
rodri,47.2,34.4
rodri,29.0,48.9
rodri,63.1,26.9
rodri,56.1,19.0
rodri,69.0,38.1
rodri,42.3,47.9
rodri,70.1,28.9
rodri,57.4,17.5
rodri,44.6,36.5
rodri,59.9,48.4
rodri,52.0,37.7
rodri,45.4,28.3
rodri,51.4,51.1
rodri,42.6,35.2
rodri,50.2,45.3
rodri,29.7,40.4
rodri,57.2,32.2
rodri,54.0,35.0
rodri,44.8,24.9
rodri,60.2,24.7
rodri,55.0,44.0
rodri,63.0,26.6
rodri,75.0,31.2
rodri,63.9,23.1
rodri,45.2,44.0
rodri,57.7,32.1
rodri,38.1,41.6
rodri,28.6,38.5
rodri,41.3,20.1
rodri,61.7,28.7
rodri,29.0,26.0
rodri,46.9,5.1
rodri,50.4,36.7
rodri,56.4,28.0
rodri,29.5,40.3
rodri,24.3,44.3
rodri,52.6,20.9
rodri,51.8,45.2
rodri,46.0,31.5
rodri,26.0,42.3
rodri,60.8,27.6
rodri,74.4,15.9
rodri,41.4,34.0
rodri,44.2,9.6
rodri,63.8,29.7
rodri,48.1,56.3
rodri,57.9,33.5
rodri,40.5,41.4
rodri,46.2,37.9
rodri,62.7,25.5
rodri,57.0,44.1
rodri,63.3,9.8
rodri,47.9,24.2
rodri,55.5,43.6
rodri,62.9,32.3
rodri,59.2,33.9
rodri,20.7,29.7
rodri,40.9,39.2
rodri,55.0,36.7
rodri,36.1,46.8
rodri,60.2,52.5
rodri,60.3,45.4
rodri,43.2,26.3
rodri,37.0,36.0
rodri,67.2,26.7
rodri,54.1,21.5
rodri,32.2,42.6
rodri,39.1,26.8
rodri,57.8,40.6
rodri,47.4,31.7
rodri,53.4,26.9
rodri,38.6,48.7
rodri,56.5,8.6
rodri,52.8,36.9
rodri,62.6,37.6
rodri,52.3,31.7
rodri,50.8,41.7
rodri,67.4,4.3
rodri,46.9,41.9
rodri,81.0,31.7
rodri,35.3,26.0
rodri,64.5,32.8
rodri,53.0,20.4
rodri,67.7,31.6
rodri,59.2,25.2
rodri,66.2,45.2
rodri,27.8,39.4
rodri,49.9,46.7
rodri,53.8,31.2
rodri,34.6,44.4
rodri,35.5,52.3
rodri,49.8,18.9
rodri,66.3,29.7
rodri,75.6,37.9
rodri,30.3,27.9
rodri,48.6,31.8
rodri,51.9,27.9
rodri,46.9,44.0
rodri,74.7,22.9
rodri,45.0,32.7
rodri,30.5,43.4
rodri,66.2,34.7
rodri,36.9,47.0
rodri,47.6,49.3
rodri,58.1,33.1
rodri,34.1,37.4
rodri,70.8,30.5
rodri,58.3,35.4
rodri,56.7,26.5
rodri,39.6,41.1
rodri,43.3,38.3
rodri,63.5,33.0
rodri,38.8,22.8
rodri,28.8,45.5
rodri,54.6,35.2
rodri,17.9,19.2
rodri,58.3,14.0
rodri,70.4,29.1
rodri,58.4,29.4
rodri,35.6,23.6
rodri,23.3,34.2
rodri,64.5,27.9
rodri,44.3,24.6
rodri,51.3,9.5
rodri,47.9,24.1
rodri,41.4,36.2
rodri,45.5,35.6
rodri,64.2,47.7
rodri,56.4,46.5
rodri,55.3,43.0
rodri,44.6,39.0
rodri,28.1,54.9
rodri,55.3,35.9
rodri,33.7,27.1
rodri,47.2,46.8
rodri,46.4,37.9
rodri,21.1,46.1
rodri,47.2,36.0
rodri,36.9,47.5
rodri,41.7,53.5
rodri,24.9,24.9
rodri,45.2,36.5
rodri,41.4,51.9
rodri,61.0,41.0
rodri,35.4,36.0
rodri,56.1,26.9
rodri,35.7,52.5
rodri,50.7,44.6
rodri,73.6,14.5
rodri,40.9,36.9
rodri,66.5,45.1
rodri,72.9,24.6
rodri,66.2,39.7
rodri,64.9,24.7
rodri,31.2,42.0
rodri,66.1,40.2
rodri,51.8,24.4
rodri,35.3,44.0
rodri,40.7,24.9
rodri,49.0,42.8
rodri,41.9,46.0
rodri,41.0,25.4
rodri,69.7,33.4
rodri,57.5,28.6
rodri,57.4,37.8
rodri,44.0,40.8
rodri,20.9,46.3
rodri,86.9,34.5
rodri,46.9,28.6
rodri,67.7,24.1
rodri,37.4,12.7
rodri,51.2,31.1
rodri,44.9,34.0
rodri,52.2,31.7
rodri,34.0,32.8
rodri,44.3,16.9
rodri,32.2,28.1
rodri,53.8,32.3
rodri,55.5,29.5
rodri,42.7,8.1
rodri,58.6,22.4
rodri,58.2,23.1
rodri,44.6,39.6
rodri,57.2,41.8
rodri,32.3,46.5
rodri,51.0,23.4
rodri,36.8,40.8
rodri,64.5,30.5
rodri,68.4,41.7
rodri,20.5,23.6
rodri,43.9,28.4
rodri,54.2,47.8
rodri,35.3,51.3
rodri,65.2,33.4
rodri,37.7,41.4
rodri,53.8,18.4
rodri,46.1,17.3
rodri,56.2,28.0
rodri,24.4,21.4
rodri,55.6,49.4
rodri,30.0,35.2
rodri,36.4,30.2
rodri,60.8,37.1
rodri,53.5,38.9
rodri,55.5,12.4
rodri,41.9,39.3
rodri,64.4,37.5
rodri,53.4,40.9
rodri,47.1,34.0
rodri,46.6,33.1
rodri,74.3,25.6
rodri,39.3,20.9
rodri,56.7,39.6
rodri,41.7,32.3
rodri,15.1,27.1
rodri,42.4,35.7
rodri,46.8,26.7
rodri,70.9,43.4
rodri,67.7,40.8
rodri,52.7,43.9
rodri,33.0,24.3
rodri,64.8,42.6
rodri,59.4,36.2
rodri,50.9,20.3
rodri,60.2,44.8
rodri,47.7,23.3
rodri,46.7,42.7
rodri,56.3,22.3
rodri,60.8,40.0
rodri,31.1,34.7
rodri,49.1,29.8
rodri,56.8,34.0
rodri,50.1,43.3
rodri,25.8,34.2
rodri,63.3,33.0
rodri,66.3,19.5
rodri,66.8,38.5
rodri,66.2,24.8
rodri,50.3,47.3
rodri,47.8,36.0
rodri,63.5,15.3
rodri,36.3,45.5
rodri,41.6,33.6
rodri,47.6,18.2
rodri,58.5,20.5
rodri,53.5,32.7
rodri,34.6,40.5
rodri,45.5,46.5
rodri,55.3,28.5
rodri,36.8,19.4
rodri,60.4,23.0
rodri,30.6,43.0
rodri,30.5,38.8
rodri,37.0,22.6
rodri,53.6,22.3
rodri,51.1,48.2
rodri,56.8,38.6
rodri,40.0,31.6
rodri,61.0,29.3
rodri,49.6,21.8
rodri,55.4,29.0
rodri,45.6,41.9
rodri,37.8,44.1
rodri,29.1,26.1
rodri,33.6,38.9
rodri,31.8,26.6
rodri,67.8,32.6
rodri,71.1,35.3
rodri,46.3,35.7
rodri,46.1,40.8
rodri,57.0,42.8
rodri,50.9,19.6
rodri,30.9,28.6
rodri,45.9,21.4
rodri,35.5,44.5
rodri,70.2,24.1
rodri,54.6,20.6
rodri,38.6,34.4
rodri,30.9,33.3
rodri,62.3,20.5
rodri,38.5,38.6
rodri,64.9,36.2
rodri,48.9,28.4
rodri,60.3,35.3
rodri,35.7,35.1
rodri,52.5,6.7
rodri,34.7,29.5
rodri,41.2,18.0
rodri,42.6,37.6
rodri,46.7,31.7
rodri,20.8,38.4
rodri,31.7,28.7
rodri,61.5,38.0
rodri,46.8,41.9
rodri,40.8,36.4
rodri,41.5,38.8
rodri,38.8,31.4
rodri,24.6,39.2
rodri,52.8,34.5
rodri,54.4,30.2
rodri,47.5,33.6
rodri,72.0,20.3
rodri,73.2,26.0
rodri,33.9,41.6
rodri,54.6,33.0
rodri,50.0,47.1
rodri,63.1,42.7
rodri,56.1,32.3
rodri,77.4,28.4
rodri,64.8,20.1
rodri,30.3,49.7
rodri,70.9,37.6
rodri,28.1,26.6
rodri,56.7,30.5
rodri,67.2,29.5
rodri,63.7,36.8
rodri,51.2,44.9
rodri,38.6,37.2
rodri,31.9,34.2
rodri,66.7,44.2
rodri,42.7,49.9
rodri,52.1,46.8
rodri,36.4,32.0
rodri,52.2,23.5
rodri,38.6,21.2
rodri,56.0,28.9
rodri,50.8,38.6
rodri,57.7,29.7
rodri,49.1,37.7
rodri,64.5,22.6
rodri,38.4,30.1
rodri,65.9,15.4
rodri,61.2,25.8
rodri,31.8,45.2
rodri,54.1,24.0
rodri,64.4,32.1
rodri,51.3,16.6
rodri,57.4,40.3
rodri,65.0,24.8
rodri,49.4,66.7
rodri,39.0,43.7
rodri,50.5,22.3
rodri,69.7,55.8
rodri,56.6,23.6
rodri,28.2,34.6
rodri,37.8,29.6
rodri,37.9,42.6
rodri,35.6,33.2
rodri,46.3,38.8
rodri,26.8,38.2
rodri,59.8,38.5
rodri,40.1,41.7
rodri,48.7,22.8
rodri,40.9,4.7
rodri,54.5,28.4
rodri,45.8,31.9
rodri,61.3,31.7
rodri,77.0,30.7
rodri,68.4,24.0
rodri,40.5,41.7
rodri,56.7,14.0
rodri,29.6,37.7
rodri,58.6,27.2
rodri,51.8,30.2
rodri,54.5,51.9
rodri,47.0,31.6
rodri,62.3,39.9
rodri,60.4,44.0
rodri,23.1,39.8
rodri,32.6,23.9
rodri,70.8,30.1
rodri,30.4,50.6
rodri,60.4,19.5
rodri,38.2,28.6
rodri,50.2,31.4
rodri,14.5,40.8
rodri,62.5,37.3
rodri,55.4,33.6
rodri,27.9,32.4
rodri,49.0,34.0
rodri,47.6,47.3
rodri,56.8,33.9
rodri,52.2,35.4
rodri,53.1,16.5
rodri,32.3,48.7
rodri,56.6,36.1
rodri,65.0,2.5
rodri,24.7,34.5
rodri,52.3,25.8
